Goal;Minuten;Doelpunten maker;Latitude;Longitude;;
1;2;Vellios;52.517.527;6.120.957;;
2;4;Vellios;52.517.611;6.120.781;;
3;12;Vellios;52.517.529;6.120.974;;
4;14;Medunjanin;52.517.486;6.121.052;;
5;20;Taha;52.517.502;6.120.835;;
6;27;Vellios;52.517.610;6.120.719;;
7;31;Van den Belt;52.517.472;6.120.840;;
8;46;Thy;52.516.822;6.121.033;;
9;59;Beelen;52.516.892;6.120.972;;
10;62;Thy;52.516.814;6.120.933;;
11;74;Thy;52.516.741;6.120.958;;
12;89;Van den Belt;52.516.815;6.120.994;;
13;91;Van den Berg;52.516.804;6.120.859;;
